method,recall_at_10,ndcg_at_10,catalog_coverage,novelty,intra_list_diversity,neighborhood_bias,rec_gen_time_sec
Popularity,0.0,0.0,0.00029994001199760045,5.091315017031619,1.410011793984379,0.7727499285857116,4.84
Item-based CF,0.0025,0.0007546330823063315,0.12591053217927842,6.617038436560057,1.5750896761977071,0.1889015339789185,3.17
User-based CF,0.005,0.0015141855706139226,0.03271488559430971,5.783246279775487,1.4666247662877068,0.33472300539892025,2.37
Content-based,0.0025,0.0007985559820299872,0.01615391207472791,6.75395677648525,0.35126665406678453,0.45307762019024767,4.49
Matrix Factorization (ALS),0.004166666666666667,0.0020378147319690286,0.036571257177136,5.951562641918937,1.6111685910455908,0.2911693875510612,0.48
